#,Name,MLBAMID,RazzballID,FangraphsID,NFBCID,Team,ESPN_POS,YAHOO_POS
793,Brandon Crawford,543063,5343,5343,8076,SF,SS,SS
794,Brandon Dickson,505447,505447,6979,,FA,RP,RP
795,Brandon Dixon,641525,641525,15214,9809,SD,1B/OF,1B/OF
796,Brandon Drury,592273,11615,11615,8931,LAA,1B/2B/ 3B,1B/2B/ 3B
797,Brandon Dufault,679555,679555,sa3017257,,LAA,RP,RP
798,Brandon Eisert,685126,685126,sa3014798,,TOR,RP,RP
799,Brandon Finnegan,605232,16208,16208,,FA,SP,SP
800,Brandon Hernandez,683847,683847,sa3009835,,STL,3B,3B
801,Brandon Howlett,680914,680914,sa3007745,,FA,3B,3B
802,Brandon Hughes,676714,676714,23460,11471,CHC,RP,RP
803,Brandon Johnson,699489,699489,sa3020610,,KC,RP,RP
804,Brandon Kintzler,445213,9939,9939,,FA,RP,RP
805,Brandon Knarr,687822,687822,sa3015005,,MIL,SP,SP
806,Brandon Komar,688162,688162,sa3010630,,STL,SP,SP
807,Brandon League,434181,434181,,,KC,P,P
808,Brandon Leibrandt,605335,605335,16135,,FA,RP,RP
809,Brandon Lewis,686781,686781,sa3010035,,LAD,3B,3B
810,Brandon Linares,678376,678376,sa3006182,,FA,OF,OF
811,Brandon Lockridge,663604,663604,sa3006856,,NYY,OF,OF
812,Brandon Lowe,664040,664040,18882,10068,TB,2B,2B
813,Brandon Marsh,669016,669016,20202,10146,PHI,OF,OF
814,Brandon Martorano,668785,668785,sa918686,,SF,C,C
815,Brandon McIlwain,666140,666140,sa3015076,,NYM,OF,OF
816,Brandon Nimmo,607043,12927,12927,8955,NYM,OF,OF
817,Brandon Parker,688556,688556,sa1169878,,ATL,OF,OF
818,Brandon Pfaadt,694297,694297,27782,11586,ARI,SP,SP
819,Brandon Schaeffer,801755,801755,sa3020751,,SEA,SP,SP
820,Brandon Snyder,474319,9856,9856,,FA,3B,3B
821,Brandon Valenzuela,678218,678218,sa3005729,,SD,C,C
822,Brandon Waddell,663399,663399,18347,,FA,RP,RP
823,Brandon Wagner,643590,643590,sa738979,,FA,1B,1B
824,Brandon Walter,687888,687888,26056,11608,BOS,RP,RP
825,Brandon White,669155,669155,sa3010011,,FA,OF,OF
826,Brandon Williamson,682227,682227,25463,10877,CIN,SP,SP
827,Brandon Woodruff,605540,605540,16162,9678,MIL,SP,SP
828,Brandon Workman,519443,11428,11428,,FA,RP,RP
829,Brandon Young,687064,687064,sa3014926,,BAL,SP,SP
830,Brandy Rosario,698955,698955,sa3016547,,FA,2B,2B
831,Brandyn Sittinger,670087,670087,19192,,FA,RP,RP
832,Brannon Jordan,687561,687561,sa3017814,,MIL,SP,SP
833,Branny De Oleo,808067,808067,sa3021160,,NYM,SS,SS
834,Brant Hurter,676428,676428,sa3018091,,DET,SP,SP
835,Brantley Bell,664009,664009,sa875352,,FA,3b,3b
836,Braulio Vasquez,670877,670877,sa924858,,FA,2B,2B
837,Braunny Munoz,679560,679560,sa3006398,,CLE,RP,RP
838,Braxton Ashcraft,677952,677952,sa3008470,,PIT,SP,SP
839,Braxton Fulford,690924,690924,sa3017164,,COL,C,C
840,Braxton Garrett,666129,666129,21844,10147,MIA,SP,SP
841,Braxton Lee,657658,657658,16839,,FA,OF,OF
842,Braxton Martinez,664097,664097,sa3005373,,FA,3B,3B
843,Braxton Roxby,694820,694820,sa3014811,,CIN,RP,RP
844,Brayan Bello,678394,678394,23920,11362,BOS,SP,SP
845,Brayan Buelvas,683454,683454,sa3008868,,OAK,OF,OF
846,Brayan Cabello,703082,703082,sa3018304,,SF,SP,SP
847,Brayan Ferrer,698975,698975,sa3015759,,SF,C,C
848,Brayan Guedez,800165,800165,sa3018461,,CLE,SS,SS
849,Brayan Hernandez,694045,694045,sa3015354,,BAL,C,C
850,Brayan Medina,691259,691259,sa3014705,,MIN,SP,SP
851,Brayan Mendoza,694207,694207,sa3015477,,TEX,SP,SP
852,Brayan Nolasco,699037,699037,sa3015779,,FA,OF,OF
853,Brayan Oropeza,702922,702922,sa3017827,,MIL,C,C
854,Brayan Palencia,696037,696037,sa3016011,,SF,SP,SP
855,Brayan Perez,677644,677644,sa3006100,,SEA,SP,SP
856,Brayan Rijo,699113,699113,sa3015797,,CIN,OF,OF
857,Brayan Rocchio,677587,677587,23690,10379,CLE,SS,SS
858,Brayan Sanchez,800531,800531,sa3018589,,HOU,C,C
859,Braydon Fisher,680755,680755,sa3007929,,LAD,RP,RP
860,Braylin Minier,691399,691399,sa3015177,,CIN,SS,SS
861,Braylin Morel,808281,808281,sa3021229,,TEX,OF,OF
862,Braylin Tavera,703178,703178,sa3018416,,BAL,OF,OF
863,Breiny Ramirez,808147,808147,sa3021194,,BAL,OF,OF
